Neighborhood,Incident_Count,Cluster
Mission,8050,2
South of Market,5246,0
Financial District/South Beach,4427,0
Tenderloin,4006,0
Bayview Hunters Point,3923,0
Sunset/Parkside,2669,0
Western Addition,2607,0
Hayes Valley,2294,1
Outer Mission,1885,1
West of Twin Peaks,1795,1
Golden Gate Park,1753,1
Outer Richmond,1715,1
Nob Hill,1663,1
Castro/Upper Market,1581,1
Excelsior,1521,1
Bernal Heights,1482,1
Marina,1423,1
Pacific Heights,1265,1
Russian Hill,1199,1
Lakeshore,1139,1
Mission Bay,1138,1
Inner Richmond,1132,1
Inner Sunset,1065,1
Lone Mountain/USF,1053,1
Oceanview/Merced/Ingleside,1049,1
Chinatown,999,1
North Beach,982,1
Portola,865,1
Haight Ashbury,799,1
Noe Valley,625,1
Potrero Hill,585,1
Presidio Heights,537,1
Japantown,506,1
Visitacion Valley,385,1
Glen Park,252,1
Twin Peaks,218,1
Treasure Island,111,1
McLaren Park,99,1
Seacliff,65,1
Lincoln Park,34,1
Presidio,33,1
